"pclass","survived","sex","age","sibsp","parch","fare","embarked"
"Lower","No","male",24,0,0,222,"S"
"Upper","Yes","female",55,1,1,240,"S"
"Lower","No","male",36,0,0,226,"S"
"Middle","Yes","male",27,0,0,5,"S"
"Middle","No","male",55,0,0,26,"S"
"Lower","No","male",10,3,2,110,"S"
"Middle","No","male",18,0,0,98,"S"
"Middle","Yes","female",47,0,0,5,"S"
"Lower","No","male",27,0,0,242,"S"
"Lower","No","female",31,0,0,256,"S"
"Upper","Yes","female",31,0,0,187,"C"
"Lower","No","male",31,0,0,226,"S"
"Lower","Yes","male",18,0,0,242,"S"
"Middle","Yes","female",22,0,0,26,"S"
"Lower","Yes","female",27,1,1,18,"S"
"Lower","No","male",62,0,0,242,"S"
"Lower","No","male",47,1,1,40,"S"
"Middle","No","male",33,0,0,125,"S"
"Middle","Yes","female",36,0,0,5,"S"
"Lower","Yes","male",34,0,0,166,"S"
"Upper","No","female",50,0,0,126,"C"
"Lower","No","male",34,2,0,253,"S"
"Middle","No","male",62,1,0,98,"S"
"Lower","No","male",26,2,0,90,"S"
"Lower","Yes","male",33,0,0,196,"C"
"Lower","No","male",29,0,0,268,"S"
"Upper","Yes","female",77,0,1,262,"C"
"Lower","Yes","female",22,0,0,224,"Q"
"Lower","No","male",37,0,0,197,"S"
"Lower","No","female",61,1,6,150,"S"
"Lower","No","male",23,4,1,143,"S"
"Middle","No","male",46,0,0,17,"S"
"Middle","Yes","male",39,0,0,31,"C"
"Lower","Yes","male",24,0,0,227,"S"
"Middle","Yes","female",31,1,0,108,"C"
"Lower","No","male",50,0,0,226,"S"
"Upper","Yes","female",46,0,0,58,"S"
"Middle","No","male",41,1,0,76,"S"
"Lower","No","male",27,0,0,217,"S"
"Lower","No","male",57,1,4,110,"S"
"Upper","No","male",90,1,0,84,"S"
"Upper","Yes","female",20,1,0,85,"C"
"Middle","Yes","female",81,0,1,130,"S"
"Middle","No","male",92,0,0,5,"S"
"Lower","No","male",99,4,2,124,"S"
"Lower","No","male",24,0,0,191,"S"
"Upper","No","male",55,0,0,2,"S"
"Lower","No","female",63,0,1,41,"C"
"Lower","No","male",31,0,0,214,"S"
"Middle","No","male",50,0,0,26,"S"
"Lower","No","female",63,0,0,213,"S"
"Upper","No","male",63,0,0,136,"S"
"Upper","Yes","female",73,2,0,157,"S"
"Lower","No","male",26,0,0,226,"S"
"Lower","No","male",37,0,0,273,"S"
"Lower","No","male",39,0,0,242,"S"
"Lower","Yes","male",39,0,0,273,"S"
"Upper","Yes","female",70,1,1,80,"C"
"Lower","No","male",18,0,0,242,"S"
"Upper","Yes","female",29,3,2,105,"S"
"Lower","No","male",3,0,2,40,"S"
"Upper","No","male",31,0,0,239,"C"
"Lower","No","male",52,2,0,227,"S"
"Middle","Yes","female",27,1,1,114,"S"
"Middle","Yes","male",34,1,1,114,"S"
"Upper","No","male",43,0,0,156,"S"
"Lower","Yes","female",99,1,1,50,"C"
"Lower","No","male",37,0,0,83,"S"
"Middle","No","male",29,0,0,5,"S"
"Lower","No","female",20,0,0,176,"Q"
"Lower","No","male",49,0,0,242,"S"
"Lower","No","female",39,1,1,4,"S"
"Lower","Yes","female",69,2,1,69,"C"
"Upper","No","male",52,1,1,262,"C"
"Middle","No","male",57,1,0,98,"S"
"Lower","No","male",41,0,0,242,"S"
"Middle","No","male",50,1,2,109,"S"
"Lower","No","female",23,1,1,72,"S"
"Lower","No","male",26,0,0,222,"S"
"Lower","No","female",18,5,2,150,"S"
"Middle","No","male",34,0,0,26,"S"
"Upper","Yes","male",43,0,0,112,"C"
"Lower","No","male",9,5,2,150,"S"
"Upper","No","male",39,1,0,186,"S"
"Middle","No","male",21,0,0,26,"S"
"Lower","No","male",44,0,0,227,"S"
"Lower","Yes","male",51,1,0,64,"S"
"Middle","No","male",41,0,0,5,"S"
"Lower","No","male",23,3,1,77,"S"
"Upper","Yes","female",34,0,0,238,"S"
"Lower","Yes","female",43,0,0,254,"S"
"Lower","Yes","female",36,0,0,227,"S"
"Lower","Yes","female",41,0,0,178,"Q"
"Lower","No","male",33,1,0,214,"S"
"Middle","No","male",62,0,0,26,"S"
